,benchmark percentage,fund percentage,holding,sector,ticker
261,,11.05,4,Consumer Cyclical,SGOVX
262,,10.33,5,Financial Services,SGOVX
263,,29.03,1,Industrials,FINAX
264,,17.55,2,Financial Services,FINAX
265,,15.45,3,Consumer Cyclical,FINAX
266,,13.07,4,Real Estate,FINAX
267,,10.04,5,Consumer Defensive,FINAX
268,,31.88,1,Technology,LAFAX
269,,21.70,2,Consumer Cyclical,LAFAX
270,,20.72,3,Industrials,LAFAX
271,,8.38,4,Financial Services,LAFAX
272,,6.86,5,Healthcare,LAFAX
273,,23.46,1,Technology,WAIGX
274,,16.44,2,Healthcare,WAIGX
275,,16.37,3,Consumer Cyclical,WAIGX
276,,13.04,4,Industrials,WAIGX
277,,10.94,5,Consumer Defensive,WAIGX
278,,26.91,1,Financial Services,GEGAX
279,,17.14,2,Consumer Defensive,GEGAX
280,,13.13,3,Technology,GEGAX
281,,11.65,4,Consumer Cyclical,GEGAX
282,,10.02,5,Basic Materials,GEGAX
283,,34.48,1,Consumer Defensive,HEMZX
284,,22.44,2,Financial Services,HEMZX
285,,19.69,3,Technology,HEMZX
286,,10.15,4,Consumer Cyclical,HEMZX
287,,3.14,5,Utilities,HEMZX
288,,100.00,1,Real Estate,PHRAX
289,,0.00,2,Basic Materials,PHRAX
290,,0.00,3,Consumer Cyclical,PHRAX
291,,0.00,4,Financial Services,PHRAX
292,,0.00,5,Communication Services,PHRAX
293,,87.53,1,Real Estate,ASRAX
294,,4.71,2,Communication Services,ASRAX
295,,2.93,3,Energy,ASRAX
296,,2.27,4,Utilities,ASRAX
297,,1.78,5,Industrials,ASRAX
298,,92.94,1,Real Estate,JERAX
299,,2.85,2,Technology,JERAX
300,,2.24,3,Consumer Cyclical,JERAX
301,,1.97,4,Communication Services,JERAX
302,,0.00,5,Basic Materials,JERAX
303,,98.07,1,Real Estate,PURAX
304,,1.47,2,Consumer Cyclical,PURAX
305,,0.47,3,Healthcare,PURAX
306,,0.00,4,Basic Materials,PURAX
307,,0.00,5,Financial Services,PURAX
308,,31.57,1,Financial Services,JLTSX
309,,15.47,2,Consumer Defensive,JLTSX
310,,13.30,3,Consumer Cyclical,JLTSX
311,,13.20,4,Industrials,JLTSX
312,,7.76,5,Utilities,JLTSX
313,,27.64,1,Consumer Cyclical,MPACX
314,,17.76,2,Consumer Defensive,MPACX
315,,16.04,3,Financial Services,MPACX
316,,13.52,4,Healthcare,MPACX
317,,9.47,5,Technology,MPACX
318,,29.84,1,Financial Services,MCHFX
319,,25.46,2,Technology,MCHFX
320,,18.13,3,Consumer Cyclical,MCHFX
321,,8.31,4,Industrials,MCHFX
322,,5.92,5,Basic Materials,MCHFX
323,,33.03,1,Financial Services,MINDX
324,,18.16,2,Consumer Defensive,MINDX
325,,13.93,3,Consumer Cyclical,MINDX
326,,11.95,4,Technology,MINDX
327,,10.90,5,Healthcare,MINDX
328,,20.62,1,Consumer Defensive,MAPTX
329,,19.03,2,Financial Services,MAPTX
330,,16.88,3,Technology,MAPTX
331,,13.06,4,Consumer Cyclical,MAPTX
332,,7.71,5,Healthcare,MAPTX
333,,100.00,1,Basic Materials,SGGDX
334,,0.00,2,Consumer Cyclical,SGGDX
335,,0.00,3,Financial Services,SGGDX
336,,0.00,4,Real Estate,SGGDX
337,,0.00,5,Communication Services,SGGDX
338,,99.95,1,Basic Materials,IGDAX
339,,0.05,2,Energy,IGDAX
340,,0.00,3,Consumer Cyclical,IGDAX
341,,0.00,4,Financial Services,IGDAX
342,,0.00,5,Real Estate,IGDAX
343,"-3.69 
						Mil",Westinghouse Air Brake Technologies Corp,1,,GRZZX
344,"-3.63 
						Mil",Expeditors International of Washington Inc,2,,GRZZX
345,"-3.50 
						Mil",Yum Brands Inc,3,,GRZZX
346,"-3.44 
						Mil",Abiomed Inc,4,,GRZZX
347,"-3.39 
						Mil",The Estee Lauder Companies Inc Class A,5,,GRZZX
348,,% Assets in Top 5 Holdings,6,,GRZZX
349,"-1834.96 
						Mil",Sptr Trs Equity 3ml+4 *Bullet* Bps,1,,PSSAX
350,"-494.11 
						Mil",E-mini S&P 500 Sept17,2,,PSSAX
351,"443.42 
						Mil",US 5 Year Note (CBT) Sept17,3,,PSSAX
352,"-366.30 
						Mil",US 10 Year Note (CBT) Sept17,4,,PSSAX
353,"-262.37 
						Mil",IRS USD 1.25000 06/21/17-2Y CME_Pay,5,,PSSAX
354,,% Assets in Top 5 Holdings,6,,PSSAX
355,,51.41,1,Industrials,AWTAX
356,,28.13,2,Utilities,AWTAX
357,,13.28,3,Basic Materials,AWTAX
358,,5.98,4,Healthcare,AWTAX
359,,1.20,5,Technology,AWTAX
360,,34.44,1,Consumer Defensive,SRIGX
361,,16.36,2,Consumer Cyclical,SRIGX
362,,15.98,3,Industrials,SRIGX
363,,11.12,4,Communication Services,SRIGX
364,,7.68,5,Technology,SRIGX
365,,18.20,1,Technology,NRAAX
366,,17.96,2,Financial Services,NRAAX
367,,16.86,3,Healthcare,NRAAX
368,,11.77,4,Industrials,NRAAX
369,,10.06,5,Consumer Cyclical,NRAAX
370,,64.67,1,Communication Services,FWRLX
371,,35.33,2,Technology,FWRLX
372,,0.00,3,Basic Materials,FWRLX
373,,0.00,4,Consumer Cyclical,FWRLX
374,,0.00,5,Financial Services,FWRLX
375,,63.17,1,Technology,WSTYX
376,,12.43,2,Healthcare,WSTYX
377,,9.02,3,Industrials,WSTYX
378,,6.73,4,Consumer Cyclical,WSTYX
379,,4.94,5,Financial Services,WSTYX
380,,88.25,1,Financial Services,SBFAX
381,,7.74,2,Industrials,SBFAX
382,,1.89,3,Communication Services,SBFAX
383,,1.25,4,Real Estate,SBFAX
384,,0.87,5,Technology,SBFAX
385,,97.94,1,Financial Services,PFSAX
386,,2.06,2,Technology,PFSAX
387,,0.00,3,Basic Materials,PFSAX
388,,0.00,4,Consumer Cyclical,PFSAX
389,,0.00,5,Real Estate,PFSAX
390,,100.00,1,Healthcare,RYOIX
391,,0.00,2,Basic Materials,RYOIX
392,,0.00,3,Consumer Cyclical,RYOIX
393,,0.00,4,Financial Services,RYOIX
394,,0.00,5,Real Estate,RYOIX
395,43.59,69.60,1,U.S. Treasury,GSAPX
396,48.61,23.31,2,U.S. Treasury Inflation-Protected,GSAPX
397,2.07,0.00,3,Non U.S. Treasury,GSAPX
398,0.80,0.00,4,Agency Mortgage-Backed,GSAPX
399,0.32,0.00,5,Non-Agency Residential MBS,GSAPX
400,48.61,103.18,1,U.S. Treasury Inflation-Protected,PRTNX
401,2.07,7.87,2,Non U.S. Treasury,PRTNX
402,43.59,6.18,3,U.S. Treasury,PRTNX
403,1.37,3.27,4,Commercial MBS,PRTNX
404,1.27,1.79,5,Asset-Backed,PRTNX
405,48.61,99.79,1,U.S. Treasury Inflation-Protected,VIPSX
406,43.59,0.00,2,U.S. Treasury,VIPSX
407,2.07,0.00,3,Non U.S. Treasury,VIPSX
408,-1.17,0.00,4,Non U.S. Inflation-Protected,VIPSX
409,-0.97,0.00,5,Government-Related,VIPSX
410,8.55,58.83,1,Agency MBS Pass-Through,EVGOX
411,4.74,22.34,2,Agency MBS CMO,EVGOX
412,2.87,16.25,3,Agency MBS ARM,EVGOX
413,57.28,0.00,4,U.S. Treasury,EVGOX
414,3.06,0.00,5,U.S. Treasury Inflation-Protected,EVGOX
415,40.39,43.71,1,Corporate Bond,RFBSX
416,8.84,7.67,2,Asset-Backed,RFBSX
417,15.05,6.51,3,U.S. Treasury,RFBSX
418,3.11,5.65,4,Agency MBS CMO,RFBSX
419,11.31,5.33,5,Commercial MBS,RFBSX
420,8.55,75.82,1,Agency MBS Pass-Through,IPFIX
421,57.28,17.75,2,U.S. Treasury,IPFIX
422,4.74,4.50,3,Agency MBS CMO,IPFIX
423,7.30,0.90,4,Commercial MBS,IPFIX
424,2.87,0.21,5,Agency MBS ARM,IPFIX
425,12.18,57.62,1,Agency MBS Pass-Through,AUGAX
426,14.70,14.79,2,Commercial MBS,AUGAX
427,5.93,9.06,3,Asset-Backed,AUGAX
428,1.09,7.03,4,Non-Agency Residential MBS,AUGAX
429,3.32,6.40,5,Agency MBS CMO,AUGAX
430,31.79,32.12,1,Corporate Bond,NEFRX
431,22.13,15.34,2,U.S. Treasury,NEFRX
432,0.74,13.63,3,U.S. Treasury Inflation-Protected,NEFRX
433,12.18,10.86,4,Agency MBS Pass-Through,NEFRX
434,1.53,5.46,5,Non-U.S. Government,NEFRX
435,86.25,92.17,1,Corporate,MFBFX
436,2.35,5.24,2,Cash & Equivalents,MFBFX
437,6.20,1.67,3,Government,MFBFX
438,4.77,0.26,4,Securitized,MFBFX
439,1.04,0.00,5,Municipal,MFBFX
440,27.07,109.53,1,Agency MBS Pass-Through,PAGNX
441,7.65,11.89,2,Agency MBS CMO,PAGNX
442,1.06,9.12,3,Asset-Backed,PAGNX
443,0.65,7.25,4,Agency MBS ARM,PAGNX
444,45.40,7.08,5,U.S. Treasury,PAGNX
445,86.50,89.39,1,Corporate Bond,FHAIX
446,0.62,3.35,2,Convertible,FHAIX
447,0.63,0.00,3,Bank Loan,FHAIX
448,0.16,0.00,4,Preferred,FHAIX
449,0.45,0.00,5,Agency Mortgage-Backed,FHAIX
450,86.50,80.49,1,Corporate Bond,PBHAX
451,0.64,3.34,2,Asset-Backed,PBHAX
452,0.62,0.95,3,Convertible,PBHAX
453,0.16,0.08,4,Preferred,PBHAX
454,0.63,0.00,5,Bank Loan,PBHAX
455,49.84,56.94,1,Government,DIBAX
456,25.04,19.58,2,Corporate Bond,DIBAX
457,-23.26,16.91,3,Other Government Related,DIBAX
458,2.25,3.61,4,Asset-Backed,DIBAX
459,1.22,3.15,5,Supranational,DIBAX
460,49.84,41.92,1,Government,PFUAX
461,25.04,25.40,2,Corporate Bond,PFUAX
462,-23.26,21.64,3,Other Government Related,PFUAX
463,6.50,20.77,4,Commercial MBS,PFUAX
464,2.25,5.29,5,Asset-Backed,PFUAX
465,49.84,66.88,1,Government,TPINX
466,25.04,1.10,2,Corporate Bond,TPINX
467,1.58,0.00,3,Agency/Quasi-Agency,TPINX
468,1.22,0.00,4,Supranational,TPINX
469,-23.26,0.00,5,Other Government Related,TPINX
470,"242.74 
						Mil",Columbia US Government Mortgage Y,1,,RBBAX
471,"192.91 
						Mil",Columbia High Yield Bond Y,2,,RBBAX
472,"116.12 
						Mil",Columbia Corporate Income Y,3,,RBBAX
473,"115.99 
						Mil",Columbia Mortgage Opportunities Y,4,,RBBAX
474,"110.18 
						Mil",Columbia Floating Rate Y,5,,RBBAX
475,,% Assets in Top 5 Holdings,6,,RBBAX
476,"928.27 
						Mil",MFS® High Yield Pooled,1,,DIFAX
477,"72.72 
						Mil",Simon Property Group Inc,2,,DIFAX
478,"64.38 
						Mil",Public Storage,3,,DIFAX
479,"47.98 
						Mil",US Treasury Note 2.75%,4,,DIFAX
480,"47.12 
						Mil",US Treasury Note 1.75%,5,,DIFAX
481,,% Assets in Top 5 Holdings,6,,DIFAX
482,"1007.10 
						Mil",Microsoft Corp,1,,VWINX
483,"860.38 
						Mil",JPMorgan Chase & Co,2,,VWINX
484,"830.32 
						Mil",Philip Morris International Inc,3,,VWINX
485,"808.24 
						Mil",Wells Fargo & Co,4,,VWINX
486,"738.46 
						Mil",Johnson & Johnson,5,,VWINX
487,,% Assets in Top 5 Holdings,6,,VWINX
488,"202.75 
						Mil",Apple Inc,1,,CBLAX
489,"141.18 
						Mil",Berkshire Hathaway Inc B,2,,CBLAX
490,"135.65 
						Mil",JPMorgan Chase & Co,3,,CBLAX
491,"135.44 
						Mil",Microsoft Corp,4,,CBLAX
492,"134.51 
						Mil",Citigroup Inc,5,,CBLAX
493,,% Assets in Top 5 Holdings,6,,CBLAX
494,"628.18 
						Mil",Apple Inc,1,,VBINX
495,"470.58 
						Mil",Microsoft Corp,2,,VBINX
496,"331.64 
						Mil",Facebook Inc A,3,,VBINX
497,"324.80 
						Mil",Amazon.com Inc,4,,VBINX
498,"290.37 
						Mil",Johnson & Johnson,5,,VBINX
499,,% Assets in Top 5 Holdings,6,,VBINX
500,"305.04 
						Mil",Columbia Short Term Bond Y,1,,CTFAX
501,"152.52 
						Mil",Columbia US Government Mortgage Y,2,,CTFAX
502,"152.52 
						Mil",Columbia Total Return Bond Y,3,,CTFAX
503,"76.26 
						Mil",Columbia US Treasury Index Y,4,,CTFAX
504,"76.18 
						Mil",Columbia Income Opportunities Y,5,,CTFAX
505,,% Assets in Top 5 Holdings,6,,CTFAX
506,"-143.14 
						Mil",Us 10yr Note (Cbt)sep17 Xcbt 20170920,1,,SFAAX
507,"28.36 
						Mil",Us 5yr Note (Cbt) Sep17 Xcbt 20170929,2,,SFAAX
508,"28.33 
						Mil",Apple Inc,3,,SFAAX
509,"20.51 
						Mil",Microsoft Corp,4,,SFAAX
510,"14.59 
						Mil",Facebook Inc A,5,,SFAAX
511,,% Assets in Top 5 Holdings,6,,SFAAX
512,"21.96 
						Mil",Schwab US Aggregate Bond Index,1,,SWGRX
513,"12.49 
						Mil",Schwab® S&P 500 Index,2,,SWGRX
514,"8.96 
						Mil",Metropolitan West Total Return Bd I,3,,SWGRX
515,"8.88 
						Mil",Schwab Short-Term Bond Index,4,,SWGRX
516,"5.92 
						Mil",Schwab® Treasury Infl Protected Secs Idx,5,,SWGRX
517,,% Assets in Top 5 Holdings,6,,SWGRX
518,"81.00 
						Mil",Schwab® S&P 500 Index,1,,SWHRX
519,"67.97 
						Mil",Schwab US Aggregate Bond Index,2,,SWHRX
520,"51.21 
						Mil",Schwab Core Equity,3,,SWHRX
521,"44.48 
						Mil",Laudus International MarketMasters Sel,4,,SWHRX
522,"39.58 
						Mil",Metropolitan West Total Return Bd I,5,,SWHRX
523,,% Assets in Top 5 Holdings,6,,SWHRX
524,"73.52 
						Mil",Schwab® S&P 500 Index,1,,SWIRX
525,"52.33 
						Mil",Schwab Core Equity,2,,SWIRX
526,"47.67 
						Mil",Laudus International MarketMasters Sel,3,,SWIRX
527,"30.97 
						Mil",Schwab® International Core Equity,4,,SWIRX
528,"30.43 
						Mil",Schwab US Aggregate Bond Index,5,,SWIRX
529,,% Assets in Top 5 Holdings,6,,SWIRX
530,"822.49 
						Mil",T. Rowe Price Ltd Dur Infl Focus Bd,1,,PARIX
531,"606.93 
						Mil",T. Rowe Price New Income,2,,PARIX
532,"526.04 
						Mil",T. Rowe Price Equity Index 500,3,,PARIX
533,"101.58 
						Mil",T. Rowe Price Overseas Stock,4,,PARIX
534,"96.51 
						Mil",T. Rowe Price International Value Eq,5,,PARIX
535,,% Assets in Top 5 Holdings,6,,PARIX
